	Spearman	pvalue
AC005104.3	-0.3146	0.0008
AC005154.6	-0.1055	0.2726
AC005154.7	-0.1428	0.1366
AC005224.2	-0.3116	0.0009
AC005229.1	-0.2233	0.019
AC005253.2	-0.2153	0.0239
AC005255.3	-0.0421	0.6626
AC005355.2	0.2267	0.0173
AC005517.3	-0.38	0.0
AC005519.4	-0.0482	0.6169
AC005562.1	-0.4602	0.0
AC005618.6	-0.2089	0.0285
AC005682.5	-0.3366	0.0003
AC005682.6	-0.1202	0.2109
AC005754.8	-0.2752	0.0036
AC005785.2	0.0656	0.4957
AC005785.5	-0.176	0.0659
AC006042.6	-0.1365	0.1551
AC006116.20	-0.3642	0.0001
AC006126.4	0.338	0.0003
AC006128.2	-0.0819	0.3949
AC006129.1	-0.1357	0.1574
AC006129.2	0.0589	0.5412
AC006273.5	-0.259	0.0063
AC006277.3	-0.1115	0.2462
AC006378.2	-0.2358	0.0131
AC006486.10	0.0526	0.5849
AC006538.1	-0.0813	0.3982
AC006547.13	0.5255	0.0
AC006946.16	-0.4435	0.0
AC006978.6	-0.1143	0.2344
AC007038.7	-0.3932	0.0
AC007191.4	-0.542	0.0
AC007228.11	-0.2068	0.0302
AC007228.9	0.233	0.0143
AC007238.1	0.0936	0.3306
AC007246.3	0.2755	0.0036
AC007255.8	-0.3605	0.0001
AC007292.3	-0.0001	0.9992
AC007292.6	-0.1048	0.2757
AC007318.5	0.0251	0.795
AC007365.4	-0.029	0.7636
AC007383.3	-0.0969	0.3141
AC007405.6	-0.3192	0.0007
AC007566.10	-0.3282	0.0005
AC007743.1	0.2488	0.0088
AC007750.5	0.4136	0.0
AC007773.2	-0.2181	0.0221
AC007969.5	0.0342	0.7224
AC008079.10	0.0328	0.7341
AC008268.1	-0.3084	0.001
AC008746.12	-0.1516	0.114
AC008746.5	-0.3217	0.0006
AC009005.2	0.0488	0.6129
AC009120.3	-0.2825	0.0028
AC009120.5	-0.3221	0.0006
AC009120.6	-0.203	0.0334
AC009133.12	-0.1245	0.1952
AC009237.11	-0.3281	0.0005
AC009237.8	-0.2187	0.0217
AC009245.3	-0.1325	0.1676
AC009299.3	-0.2338	0.014
AC009303.2	0.277	0.0034
AC009403.2	0.1943	0.0419
AC009404.2	-0.0972	0.3122
AC009487.6	-0.1496	0.1189
AC009501.4	0.0586	0.5433
AC009506.1	-0.1187	0.2167
AC009948.5	-0.0539	0.5758
AC009950.2	0.0468	0.6275
AC009961.3	-0.0661	0.4925
AC010226.4	0.2176	0.0224
AC010468.1	-0.1049	0.2756
AC010504.2	-0.2485	0.0089
AC010524.2	-0.2437	0.0103
AC010642.1	-0.0744	0.4399
AC010733.5	-0.2461	0.0096
AC010761.8	-0.0654	0.4975
AC010894.3	0.1495	0.119
AC010976.2	-0.2276	0.0168
AC011242.6	0.1205	0.2099
AC011290.5	-0.1728	0.0711
AC011322.1	-0.3575	0.0001
AC011747.4	-0.442	0.0
AC011899.9	0.746	0.0
AC012065.1	0.0702	0.466
AC012074.2	-0.1276	0.1842
AC012146.7	0.3029	0.0013
AC012314.8	-0.1319	0.1695
AC012358.4	0.2341	0.0138
AC012358.8	-0.0533	0.58
AC012360.6	-0.2547	0.0072
AC012531.25	-0.115	0.2316
AC015849.16	-0.2035	0.0329
AC015849.19	-0.239	0.0119
AC015971.2	-0.4381	0.0
AC016292.3	0.0103	0.9153
AC016700.5	0.2097	0.0279
AC016708.2	0.0748	0.4373
AC016722.4	-0.2591	0.0063
AC016734.2	0.1566	0.1024
AC016735.2	-0.0655	0.4969
AC016739.2	-0.1388	0.1481
AC016747.3	0.1664	0.0822
AC016995.3	-0.3432	0.0002
AC017074.2	-0.0347	0.7186
AC017104.6	-0.0895	0.3523
AC018738.2	-0.1002	0.2977
AC018766.4	-0.0158	0.8701
AC018816.3	0.0631	0.5125
AC019097.7	-0.482	0.0
AC020571.3	-0.4012	0.0
AC022007.5	0.2324	0.0145
AC022210.2	-0.1215	0.2059
AC024560.3	-0.4183	0.0
AC024937.6	-0.3385	0.0003
AC025165.8	-0.2629	0.0055
AC025171.1	-0.0562	0.5595
AC025335.1	-0.3956	0.0
AC026271.5	0.1746	0.068
AC027601.1	0.1591	0.0969
AC027612.6	0.2619	0.0057
AC034220.3	-0.2874	0.0023
AC046143.3	0.3036	0.0013
AC053503.4	-0.4988	0.0
AC058791.1	0.1375	0.1522
AC062017.1	0.3646	0.0001
AC062029.1	-0.497	0.0
AC068134.10	-0.265	0.0051
AC068282.3	-0.0749	0.437
AC068580.6	0.325	0.0005
AC069213.1	-0.3089	0.001
AC069282.6	-0.1068	0.2667
AC072062.1	-0.5266	0.0
AC073046.25	-0.2839	0.0027
AC073063.10	-0.0483	0.6161
AC073254.1	0.0545	0.5717
AC073257.2	-0.091	0.3443
AC073283.4	-0.3941	0.0
AC074117.10	-0.2835	0.0027
AC074212.5	-0.0911	0.3439
AC074212.6	-0.3651	0.0001
AC074286.1	0.1453	0.13
AC074289.1	-0.1543	0.1076
AC079145.4	-0.4249	0.0
AC079250.1	0.0196	0.839
AC079630.4	0.0531	0.5817
AC079807.2	-0.3024	0.0013
AC079922.2	0.1079	0.262
AC079922.3	0.502	0.0
AC083843.1	-0.39	0.0
AC083843.4	-0.1165	0.2253
AC083899.3	-0.0867	0.3675
AC087350.1	-0.2729	0.0039
AC090154.1	-0.3938	0.0
AC090587.2	-0.4303	0.0
AC090616.2	-0.1727	0.0713
AC091729.9	0.1191	0.2153
AC092066.1	0.2367	0.0128
AC092171.4	0.263	0.0055
AC092667.2	-0.5002	0.0
AC092835.2	-0.3608	0.0001
AC093110.3	0.0617	0.522
AC093162.5	-0.4251	0.0
AC093323.3	-0.1895	0.0474
AC093495.4	-0.1728	0.0711
AC093616.4	0.2817	0.0029
AC093627.10	-0.1667	0.0818
AC093627.9	-0.2671	0.0048
AC093642.1	-0.2579	0.0065
AC093642.3	-0.2382	0.0122
AC093642.5	-0.4797	0.0
AC093673.5	0.1288	0.1798
AC093724.2	-0.1437	0.1343
AC093818.1	-0.0669	0.4875
AC093838.4	-0.1783	0.0624
AC093850.2	0.1334	0.1648
AC096772.6	0.1951	0.0411
AC097662.2	-0.3802	0.0
AC097721.2	-0.1962	0.0399
AC097724.3	-0.3998	0.0
AC098614.2	0.0581	0.5463
AC098820.3	-0.3854	0.0
AC099850.1	0.0238	0.8047
AC104532.4	-0.1492	0.1199
AC104667.3	-0.1364	0.1553
AC105760.2	-0.4685	0.0
AC106786.1	0.4134	0.0
AC107983.4	0.0037	0.9698
AC108142.1	0.2141	0.0247
AC108463.2	0.4149	0.0
AC108488.4	0.3419	0.0003
AC108938.5	0.0327	0.7343
AC109642.1	-0.1808	0.0587
AC109826.1	0.3487	0.0002
AC112497.1	0.151	0.1152
AC113189.5	0.0417	0.6652
AC114271.2	-0.1679	0.0795
AC114494.1	-0.3802	0.0
AC115522.3	-0.1806	0.059
AC116366.6	-0.1333	0.1649
AC125232.1	-0.246	0.0096
AC127904.2	-0.3041	0.0012
AC131263.1	0.023	0.8114
AC133528.2	-0.185	0.0531
AC133644.2	0.6165	0.0
AC137932.4	-0.1979	0.0383
AC137932.5	-0.2428	0.0106
AC138035.2	-0.4555	0.0
AC138969.4	-0.0584	0.5447
AC139100.3	-0.3108	0.001
AC139100.4	-0.1638	0.0872
AC141586.5	-0.3826	0.0
AC141928.1	0.5151	0.0
AC142472.6	-0.0269	0.7802
AC144450.1	-0.3915	0.0
AC144450.2	-0.4372	0.0
AC144530.1	-0.1963	0.0398
AC144652.1	-0.0001	0.9994
AC144831.1	0.6281	0.0
AC144831.3	0.5679	0.0
AC145676.2	0.0466	0.6287
AC147651.4	0.66	0.0
AC159540.1	-0.3036	0.0013
AC245100.1	0.0513	0.5942
AC253572.1	-0.1226	0.2019
ACAA1	0.2585	0.0064
ACAA2	0.3325	0.0004
ACACA	-0.1672	0.0809
ACACB	0.2073	0.0297
ACAD10	-0.3393	0.0003
ACAD11	-0.017	0.8599
ACAD8	-0.3248	0.0005
ACAD9	0.3004	0.0014
ACADM	-0.1273	0.1852
ACADS	0.2946	0.0018
ACADSB	-0.6145	0.0
ACADVL	0.3491	0.0002
ACAN	0.3336	0.0004
ACAP1	0.2054	0.0313
ACAP2	-0.0915	0.3415
ACAP3	0.3246	0.0005
ACAT1	0.305	0.0012
ACAT2	-0.1836	0.0548
ACBD3	-0.1988	0.0373
ACBD4	0.1969	0.0393
ACBD5	-0.063	0.5134
ACBD7	-0.2453	0.0098
ACCS	0.0677	0.482
ACD	0.0471	0.6254
ACE	0.5349	0.0
ACER2	-0.0695	0.4704
ACER3	0.2985	0.0015
ACHE	-0.0292	0.7624
ACIN1	-0.2526	0.0078
ACKR1	0.6447	0.0
ACKR2	0.4644	0.0
ACKR3	0.4528	0.0
ACKR4	0.3599	0.0001
ACLY	0.0121	0.9005
ACN9	-0.1499	0.118
ACO1	0.2907	0.0021
ACO2	0.1796	0.0605
ACOT1	0.2499	0.0085
ACOT11	-0.168	0.0794
ACOT13	0.2319	0.0148
ACOT2	0.2697	0.0044
ACOT4	0.2098	0.0278
ACOT7	0.5483	0.0
ACOT8	0.4219	0.0
ACOT9	0.4851	0.0
ACOX1	0.2361	0.013
ACOX2	0.2656	0.005
ACOX3	-0.2539	0.0074
ACOXL	0.1003	0.2973
ACP1	-0.3634	0.0001
ACP2	0.6525	0.0
ACP5	0.6245	0.0
ACP6	-0.4213	0.0
ACPP	-0.0159	0.8694
ACRBP	0.6422	0.0
ACRC	0.1733	0.0703
ACSF2	0.1727	0.0712
ACSF3	0.0335	0.7283
ACSL1	0.1887	0.0483
ACSL3	-0.4958	0.0
ACSL4	0.2357	0.0132
ACSL5	0.3798	0.0
ACSL6	-0.1991	0.0371
ACSM1	-0.1547	0.1065
ACSM3	-0.3869	0.0
ACSM5	0.3012	0.0014
ACSS1	-0.1725	0.0716
ACSS2	0.1774	0.0637
ACSS3	0.0763	0.4281
ACTA1	0.297	0.0016
ACTA2	-0.1068	0.2667
ACTA2-AS1	-0.4224	0.0
ACTB	0.5444	0.0
ACTBP2	0.3288	0.0005
ACTG1	0.1822	0.0568
ACTG1P1	-0.4603	0.0
ACTG1P3	-0.2545	0.0073
ACTG2	0.0706	0.4637
ACTL10	0.071	0.4608
ACTL6A	-0.3745	0.0001
ACTN1	0.1576	0.1002
ACTN4	0.1924	0.044
ACTR10	0.1254	0.1918
ACTR1A	0.5525	0.0
ACTR1B	0.1807	0.0589
ACTR2	0.2744	0.0037
ACTR3	0.3595	0.0001
ACTR3B	-0.3521	0.0002
ACTR3C	-0.456	0.0
ACTR5	-0.1595	0.096
ACTR6	-0.5712	0.0
ACTR8	-0.3472	0.0002
ACTRT3	0.2938	0.0018
ACVR1	-0.0061	0.9495
ACVR1B	-0.4545	0.0
ACVR1C	0.1151	0.2311
ACVR2A	-0.5105	0.0
ACVR2B	-0.4389	0.0
ACVR2B-AS1	-0.6313	0.0
ACVRL1	0.5971	0.0
ACY1	-0.0551	0.5672
ACY3	-0.1108	0.2494
ACYP1	-0.1715	0.0733
ACYP2	0.1971	0.0391
AD000092.3	-0.1192	0.2148
AD000684.2	-0.0162	0.8666
AD000864.6	0.4709	0.0
ADA	0.5763	0.0
ADAL	-0.0687	0.4758
ADAM10	-0.2729	0.0039
ADAM11	-0.3166	0.0008
ADAM12	0.2399	0.0116
ADAM15	0.6273	0.0
ADAM17	-0.1535	0.1093
ADAM19	0.3515	0.0002
ADAM1B	-0.4616	0.0
ADAM22	0.0669	0.4876
ADAM23	0.4519	0.0
ADAM28	0.0636	0.509
ADAM32	-0.0468	0.6271
ADAM33	0.4499	0.0
ADAM8	0.4559	0.0
ADAM9	0.3367	0.0003
ADAMDEC1	0.3719	0.0001
ADAMTS1	0.1896	0.0473
ADAMTS10	0.6053	0.0
ADAMTS12	0.1829	0.0557
ADAMTS13	-0.1537	0.1089
ADAMTS14	0.3341	0.0004
ADAMTS15	0.3447	0.0002
ADAMTS16	0.3244	0.0005
ADAMTS17	-0.086	0.3715
ADAMTS18	0.2469	0.0093
ADAMTS2	0.5779	0.0
ADAMTS3	0.2267	0.0173
ADAMTS4	0.4439	0.0
ADAMTS5	-0.1648	0.0854
ADAMTS6	0.5332	0.0
ADAMTS7	0.4766	0.0
ADAMTS8	-0.0526	0.5853
ADAMTS9	0.2934	0.0019
ADAMTS9-AS1	0.1721	0.0723
ADAMTS9-AS2	-0.5176	0.0
ADAMTSL1	0.3098	0.001
ADAMTSL2	0.5191	0.0
ADAMTSL3	0.2479	0.009
ADAMTSL4	0.4401	0.0
ADAMTSL4-AS1	-0.1478	0.1233
ADAMTSL5	0.0453	0.6387
ADAP1	0.4857	0.0
ADAP2	0.8372	0.0
ADAR	-0.0245	0.7996
ADARB1	0.4626	0.0
ADAT1	-0.0814	0.398
ADAT2	-0.2133	0.0252
ADAT3	0.1072	0.2649
ADCK1	0.5466	0.0
ADCK2	0.1226	0.2018
ADCK3	0.1612	0.0925
ADCK4	0.1196	0.2131
ADCK5	0.111	0.2483
ADCY1	-0.2518	0.008
ADCY10	-0.1857	0.0521
ADCY10P1	-0.3479	0.0002
ADCY2	-0.0854	0.3752
ADCY3	0.5152	0.0
ADCY4	0.4632	0.0
ADCY5	0.2178	0.0223
ADCY6	0.1022	0.2883
ADCY7	0.4548	0.0
ADCY9	0.0029	0.9761
ADCYAP1R1	0.1614	0.092
ADD1	0.307	0.0011
ADD2	0.5119	0.0
ADD3	0.0662	0.492
ADH1B	0.2159	0.0235
ADH1C	0.2732	0.0039
ADH5	0.2297	0.0158
ADHFE1	-0.0337	0.7269
ADI1	0.3599	0.0001
ADIPOQ	0.2258	0.0177
ADIPOR1	-0.0144	0.8815
ADIPOR2	0.2066	0.0304
ADIRF-AS1	-0.0563	0.5589
ADK	0.0882	0.3593
ADM	0.5003	0.0
ADM2	-0.0906	0.3464
ADM5	0.6391	0.0
ADNP	-0.6868	0.0
ADNP-AS1	-0.3099	0.001
ADNP2	-0.6308	0.0
ADO	-0.0819	0.3949
ADORA1	-0.1519	0.1131
ADORA2B	0.1074	0.2641
ADORA3	0.5808	0.0
ADPGK	0.0998	0.2998
ADPRH	0.5328	0.0
ADPRHL1	-0.1455	0.1294
ADPRHL2	0.2396	0.0117
ADPRM	-0.3812	0.0
ADRA1B	0.3548	0.0001
ADRA2A	0.3406	0.0003
ADRA2B	0.2294	0.0159
ADRA2C	0.595	0.0
ADRB2	0.2534	0.0076
ADRBK1	0.4324	0.0
ADRBK2	0.0743	0.4404
ADRM1	0.4279	0.0
ADSL	0.0538	0.5767
ADSS	-0.2825	0.0028
ADSSL1	0.1625	0.0898
ADTRP	-0.0448	0.6423
AEBP1	0.6201	0.0
AEBP2	-0.4027	0.0
AEN	0.0589	0.5409
AES	0.4844	0.0
AF001548.5	0.0468	0.6271
AF127936.7	-0.0403	0.6761
AF127936.9	0.0642	0.5052
AF129075.5	-0.1089	0.2575
AF131215.2	-0.4989	0.0
AF131215.9	-0.2633	0.0054
AF146191.4	0.2368	0.0128
AF186192.5	-0.6295	0.0
AF230666.2	-0.2456	0.0097
AFAP1	0.0427	0.6582
AFAP1-AS1	-0.1323	0.1684
AFAP1L1	0.3258	0.0005
AFAP1L2	-0.2439	0.0102
AFF1	-0.1182	0.2187
AFF2	0.2131	0.0254
AFF3	-0.4446	0.0
AFF4	-0.5159	0.0
AFG3L1P	-0.1263	0.1885
AFG3L2	-0.2367	0.0128
AFMID	-0.1411	0.1415
AFTPH	-0.5065	0.0
AGA	0.0519	0.5902
AGAP1	-0.1701	0.0756
AGAP1-IT1	-0.0427	0.6579
AGAP10	-0.2316	0.0149
AGAP2	0.1628	0.0893
AGAP2-AS1	0.1706	0.0747
AGAP3	0.0353	0.7139
AGAP4	-0.3519	0.0002
AGAP6	-0.0721	0.4539
AGBL2	-0.4388	0.0
AGBL3	-0.2396	0.0117
AGBL4	-0.4102	0.0
AGBL5	-0.2871	0.0024
AGBL5-IT1	0.1112	0.2476
AGER	0.1091	0.2564
AGFG1	0.174	0.0691
AGFG2	0.2763	0.0035
AGGF1	-0.1357	0.1575
AGK	-0.4379	0.0
AGL	-0.2638	0.0054
AGMAT	-0.0559	0.5618
AGO1	-0.3099	0.001
AGO2	-0.1299	0.1762
AGO3	-0.3072	0.0011
AGO4	-0.373	0.0001
AGPAT1	0.324	0.0006
AGPAT2	0.3807	0.0
AGPAT3	0.3134	0.0009
AGPAT4	0.4252	0.0
AGPAT5	-0.2844	0.0026
AGPAT6	0.1042	0.2789
AGPAT9	-0.0694	0.4715
AGPS	0.2015	0.0348
AGR2	-0.2402	0.0115
AGR3	-0.1877	0.0495
AGRN	-0.0041	0.9664
AGT	0.3062	0.0011
AGTPBP1	0.0578	0.549
AGTR1	0.2367	0.0128
AGTRAP	0.3163	0.0008
AHCTF1	-0.2773	0.0034
AHCY	-0.221	0.0203
AHCYL1	0.0051	0.9581
AHCYL2	-0.2452	0.0098
AHDC1	-0.2152	0.024
AHI1	-0.4245	0.0
AHNAK	0.1125	0.242
AHNAK2	0.526	0.0
AHR	-0.0094	0.9225
AHRR	-0.1632	0.0885
AHSA1	0.3071	0.0011
AHSA2	-0.2618	0.0057
AIDA	0.229	0.0161
AIF1	0.8977	0.0
AIF1L	0.1924	0.044
AIFM1	0.282	0.0028
AIFM2	0.3842	0.0
AIFM3	0.215	0.0241
AIG1	0.2217	0.0199
AIM1	-0.211	0.0269
AIM1L	0.0774	0.4217
AIM2	0.5082	0.0
AIMP1	-0.4494	0.0
AIMP2	0.4596	0.0
AIP	0.417	0.0
AJ003147.11	-0.1425	0.1375
AJAP1	-0.0482	0.6173
AJUBA	-0.4643	0.0
AK1	0.5104	0.0
AK2	0.0575	0.5505
AK3	0.2009	0.0354
AK4	-0.1608	0.0933
AK5	-0.1648	0.0854
AK7	-0.2738	0.0038
AK8	-0.0952	0.3226
AK9	-0.4906	0.0
AKAP1	-0.3538	0.0001
AKAP10	-0.2387	0.012
AKAP11	-0.2417	0.011
AKAP12	0.3294	0.0004
AKAP13	-0.1118	0.2447
AKAP17A	-0.0153	0.8741
AKAP2	0.104	0.2795
AKAP3	-0.3957	0.0
AKAP5	-0.4015	0.0
AKAP6	-0.5473	0.0
AKAP7	-0.0136	0.8881
AKAP8	-0.3687	0.0001
AKAP8L	-0.1154	0.2299
AKAP9	-0.6148	0.0
AKIP1	0.5151	0.0
AKIRIN1	0.1297	0.177
AKIRIN2	0.3077	0.0011
AKNA	0.5812	0.0
AKNAD1	0.0931	0.3335
AKR1A1	0.3683	0.0001
AKR1B1	0.7003	0.0
AKR1B15	0.3244	0.0005
AKR1C1	0.3769	0.0
AKR1C2	0.4131	0.0
AKR1C3	0.4548	0.0
AKR1E2	-0.0118	0.903
AKR7A2	0.2188	0.0217
AKR7A3	-0.2501	0.0084
AKR7L	-0.2878	0.0023
AKT1	0.3527	0.0002
AKT1S1	0.3343	0.0004
AKT2	0.2412	0.0111
AKT3	0.2323	0.0146
AKTIP	0.2129	0.0256
AL022476.2	-0.1227	0.2016
AL031587.1	-0.0813	0.3982
AL132988.1	0.125	0.1933
AL133243.1	-0.4344	0.0
AL133243.2	-0.2044	0.0322
AL136419.6	0.0283	0.7688
AL158801.1	0.2496	0.0086
AL162151.3	-0.158	0.0992
AL163953.3	0.3225	0.0006
AL358852.1	-0.0318	0.7418
AL365181.2	-0.1059	0.2708
AL450992.2	-0.2361	0.013
AL662800.1	-0.1097	0.2539
AL845472.1	-0.4228	0.0
ALAD	0.2532	0.0076
ALAS1	0.489	0.0
ALB	-0.1906	0.0461
ALCAM	-0.3813	0.0
ALDH16A1	0.435	0.0
ALDH18A1	-0.1945	0.0418
ALDH1A1	0.3208	0.0006
ALDH1A2	0.3148	0.0008
ALDH1A3	0.0621	0.5192
ALDH1B1	0.3555	0.0001
ALDH1L1	0.2241	0.0186
ALDH1L2	0.1412	0.1411
ALDH2	0.3185	0.0007
ALDH3A2	0.1812	0.0582
ALDH3B1	0.7903	0.0
ALDH3B2	-0.1913	0.0453
ALDH4A1	0.4212	0.0
ALDH5A1	-0.2454	0.0098
ALDH6A1	-0.2314	0.015
ALDH7A1	-0.4704	0.0
ALDH8A1	-0.2463	0.0095
ALDH9A1	0.0567	0.5561
ALDOA	0.2463	0.0095
ALDOC	0.2868	0.0024
ALG1	0.3975	0.0
ALG10	-0.3598	0.0001
ALG10B	-0.4569	0.0
ALG11	-0.3269	0.0005
ALG12	0.022	0.8194
ALG13	-0.3828	0.0
ALG14	0.2955	0.0017
ALG1L	-0.1311	0.1722
ALG1L13P	-0.3549	0.0001
ALG1L2	-0.2677	0.0047
ALG1L6P	-0.3206	0.0006
ALG1L9P	-0.2852	0.0025
ALG2	-0.068	0.4801
ALG3	0.323	0.0006
ALG5	0.1742	0.0687
ALG6	-0.2323	0.0146
ALG8	0.125	0.1933
ALG9	0.0513	0.5948
ALKBH1	-0.3205	0.0006
ALKBH2	-0.063	0.5133
ALKBH3	0.0788	0.4135
ALKBH3-AS1	-0.2415	0.011
ALKBH4	0.0437	0.6501
ALKBH5	0.3282	0.0005
ALKBH6	-0.0168	0.862
ALKBH7	0.1089	0.2573
ALKBH8	-0.325	0.0005
ALMS1	-0.4015	0.0
ALMS1-IT1	-0.0988	0.3045
ALMS1P	-0.4192	0.0
ALOX12	-0.1135	0.2379
ALOX12-AS1	-0.3912	0.0
ALOX12P2	-0.3711	0.0001
ALOX15	-0.1246	0.1945
ALOX15B	-0.1851	0.0529
ALOX5	0.36	0.0001
ALOX5AP	0.8116	0.0
ALOXE3	-0.3495	0.0002
ALPK1	-0.3461	0.0002
ALPK2	0.3173	0.0007
ALPK3	0.1291	0.179
ALPL	0.2115	0.0265
ALS2	-0.3281	0.0005
ALS2CL	0.12	0.2116
ALS2CR11	0.0036	0.9701
ALS2CR12	-0.0233	0.8089
ALX4	-0.4405	0.0
ALYREF	0.3414	0.0003
AMACR	0.1798	0.0601
AMBP	-0.2696	0.0044
AMBRA1	-0.3247	0.0005
AMD1	-0.1467	0.1261
AMDHD1	-0.1659	0.0832
AMDHD2	0.2645	0.0052
AMER1	-0.2964	0.0017
AMFR	0.0561	0.5605
AMH	-0.1596	0.0959
AMICA1	0.5521	0.0
AMIGO1	-0.0903	0.3482
AMIGO2	-0.4121	0.0
AMMECR1	-0.1544	0.1072
AMMECR1L	-0.1943	0.0419
AMN1	-0.521	0.0
AMOT	-0.2831	0.0027
AMOTL1	-0.3028	0.0013
AMOTL2	0.2267	0.0172
AMPD2	0.1587	0.0976
AMPD3	0.4454	0.0
AMPH	0.2766	0.0034
AMT	-0.1879	0.0494
AMY2B	-0.212	0.0262
AMZ1	-0.0521	0.589
AMZ2	0.0916	0.3411
AMZ2P1	-0.0639	0.5072
ANAPC1	-0.4062	0.0
ANAPC10	-0.1533	0.1099
ANAPC11	0.4435	0.0
ANAPC13	0.2896	0.0021
ANAPC15	0.2142	0.0246
ANAPC16	-0.0235	0.8074
ANAPC2	0.0481	0.6181
ANAPC4	-0.3493	0.0002
ANAPC5	-0.0934	0.3316
ANAPC7	0.1754	0.0668
ANG	0.2007	0.0355
ANGEL1	-0.1933	0.043
ANGEL2	-0.4568	0.0
ANGPT1	0.2353	0.0133
ANGPT2	0.455	0.0
ANGPTL1	0.3416	0.0003
ANGPTL2	0.4241	0.0
ANGPTL4	0.4932	0.0
