	baseMean	log2FoldChange	lfcSE	pvalue	padj
COL11A1	731.0634680399573	6.513044476052311	0.7126537451578916	3.3124025356316996e-21	2.2876280011706425e-18
KLK10	737.470876087277	4.308770061175181	0.4701124068868756	4.07633909509315e-21	2.7026128200467582e-18
TDGF1	609.0367480471441	3.646036508098642	0.3996070204838566	4.843805239253946e-21	3.0879258400243906e-18
HILPDA	551.044851604739	2.465497006282251	0.27226467449142766	1.2869688241915056e-20	7.900558615175632e-18
SPIB	774.7683753283477	-5.394366036235548	0.5969103793719107	1.9731666535916784e-20	1.1680441886886453e-17
AJUBA	410.3441965893804	3.071940991851283	0.34423889119400713	3.622572218750147e-20	2.0704873974408168e-17
POU5F1B	141.55337770356147	5.0161214629834125	0.5703726883303559	6.767989978539835e-20	3.739314463143259e-17
ETV4	2048.247604884037	5.0027396532661275	0.5714428628928288	1.1827968395058117e-19	6.324147617680267e-17
MMP3	520.3582527912121	5.471512008661975	0.6379161592806882	4.451935549016132e-19	2.3059634914044494e-16
EGFL6	56.303097155268155	3.4708768533260765	0.40251148782965135	5.08559685999093e-19	2.5543566046772624e-16
STRA6	104.42419142502084	4.938500538380261	0.579463803638203	7.92713932501937e-19	3.864480420946943e-16
FAM107A	688.7641317288173	-3.551434385670297	0.4126656191484711	8.423128557492522e-19	3.98895302401253e-16
ITM2A	487.0206913867113	-2.203283155753707	0.2588602777913763	1.2015505569936136e-18	5.532139022824763e-16
FGL2	2433.96445601586	-2.7397122243276257	0.3209829495133389	1.319574600685705e-18	5.9113375692879895e-16
DDN	77.17438067768477	4.757954929290636	0.5634327025027375	1.95368825058647e-18	8.521679671965984e-16
COL10A1	498.2008061086758	7.5417332263399794	0.8999131518452717	2.066562433358244e-18	8.782890341772538e-16
PLEKHG4	1270.363671049765	2.697309364436954	0.31847930820150816	2.2129241586199074e-18	9.169804482281242e-16
MDFI	252.80815933576827	3.803612265586969	0.4529593253771508	2.3766474509228885e-18	9.608032072938262e-16
PRKCB	546.3270320794387	-2.849133788526305	0.3375030818638114	2.7505652899843624e-18	1.0854909447974002e-15
MMP1	1022.6128631462275	4.387550111455635	0.525450093220795	4.1329405109700585e-18	1.5931043946355516e-15
ABCG2	2736.3069272184143	-6.359479358625513	0.7729304698505486	9.7492939644463e-18	3.6726033513794865e-15
CTHRC1	558.4298866553781	4.092781225246499	0.49701123314972506	1.164842055333192e-17	4.290501570477257e-15
RHPN1	664.3053860525279	3.9991014117213344	0.4874870720613593	1.4059264659794293e-17	5.065919820349792e-15
SALL4	41.527842567224404	4.66658765277492	0.5643727839119781	1.6912936680216282e-17	5.964509052650742e-15
TNS4	3128.7243127017337	4.093211461288376	0.5033992650257395	2.7358395770326894e-17	9.447196039441005e-15
ADAMTS12	469.02497070360175	3.6619846463900476	0.45134644065696605	3.412490077572307e-17	1.154327000729816e-14
KRT23	856.0247985317834	7.512171836790876	0.9394259234579787	5.764301041960067e-17	1.9108657954097625e-14
ASCL2	4261.175930608128	4.750847492690139	0.5948485830029104	8.088555156450658e-17	2.628780425846464e-14
ATP6V1C2	195.40329029490078	3.1150121622264137	0.38883867377111375	9.126348122471343e-17	2.9090234640377405e-14
BEST4	1425.5683799655114	-4.588115355978011	0.5841780861636389	1.1430563662756522e-16	3.574747032267724e-14
GRIN2B	92.62818903044513	3.7910759598932517	0.47707505802112077	1.3477270326998369e-16	4.13677325314811e-14
KLF4	7960.391095099875	-2.6744094915174843	0.33648905619832464	1.4919022455217377e-16	4.496050858095055e-14
MAPK15	158.078073438383	4.928683478099719	0.6290392396678594	2.55286275214643e-16	7.556017878004835e-14
SLCO4A1	2169.527723957014	4.081794704218954	0.5229070970691038	3.573827102805256e-16	1.0392313022631073e-13
KIAA0226L	2847.059922456497	2.582753307284935	0.3288263599227266	4.0865366847513416e-16	1.1678335439612672e-13
IL6R	1635.2980661307279	-2.88425712796809	0.3694601034782142	4.615031633819609e-16	1.2965110056027124e-13
PPAP2A	1785.5916564812517	-1.6138711007004547	0.20452097899751534	4.981390925650263e-16	1.3761092432108852e-13
GLP2R	204.4918189674629	-3.366238173638028	0.4284267582987971	6.436097519528948e-16	1.7488248587900378e-13
GAS6-AS1	335.72579458452003	3.9419451236355254	0.5149006786599124	1.1569521564788196e-15	3.0929809667155534e-13
CCNO	228.1398067234188	3.782766428072572	0.5019925988613205	3.0684206165529955e-15	8.072868526883476e-13
OSM	88.04857557080048	3.3299447370404014	0.4399157278207911	3.1848729244998688e-15	8.248323238060207e-13
KIAA1257	119.84882417492791	3.94628227617843	0.5254349052495111	3.3011881278110418e-15	8.418029725918156e-13
ADAM12	386.3465310974353	4.629569578789676	0.6168589949448994	3.5269104292411524e-15	8.857354600707894e-13
PABPC1L	348.6921152054369	2.839971286542792	0.37837010170851376	4.981707068571981e-15	1.2324148456952327e-12
SGK1	7335.93861975936	-3.6477494793560084	0.4880724794074816	5.735542532167718e-15	1.3980384922158812e-12
CYP27B1	104.50998337794968	2.8053435714409303	0.3785530197578008	7.984998839189217e-15	1.918135590718279e-12
MFAP2	482.7631898347636	2.8302589613079565	0.38151472599057557	9.182910037068763e-15	2.174381912348782e-12
TRIM29	2029.2202000276573	4.870158520863264	0.6592221423003454	9.47881633358801e-15	2.2128363482988914e-12
IL11	66.66053209733543	5.1476053896611464	0.6997335650396724	9.690091886016454e-15	2.2307399029267045e-12
GCNT2	443.81249074982895	-4.271569729887839	0.575916156682476	1.1375199693708822e-14	2.5827936290852566e-12
ZZEF1	5360.913819272979	-2.0103476979402313	0.2711209799637756	1.3645666612075815e-14	3.0564449202048193e-12
KLK6	163.53686672000651	8.987636336249746	1.2312552298731956	2.3741451561951742e-14	5.246860795191335e-12
PDK4	2974.11522806964	-3.687688724201511	0.5078085736477742	2.5281411340760502e-14	5.513676223330333e-12
CLDN16	19.944674529054108	4.610207476100213	0.6319258759015547	3.012449697266885e-14	6.40145560669213e-12
UGT1A10	866.6790766265549	-3.7676690073142565	0.5220816195834708	2.997683012852111e-14	6.40145560669213e-12
LINC00460	25.529993910458035	8.10153961929218	1.4010686522499431	3.5596851366547836e-14	7.468579891145954e-12
EPB41L3	2108.887748662696	-3.2582992884340656	0.45126116544496764	3.708367104184351e-14	7.683273093981953e-12
ACSL6	584.6267417282512	4.461700544989615	0.6224030536714484	4.3366136085812034e-14	8.873996365707833e-12
FJX1	134.10059026890497	3.4663117481076178	0.4848717418993208	4.874988433987627e-14	9.854016255285966e-12
RNF152	1052.7124470457477	-3.4958494013271464	0.4863257747404365	5.579648086899024e-14	1.1142490004861606e-11
RP11-345P4.9	172.31898214105271	-1.7484194944728135	0.24097764527676888	5.764011664877925e-14	1.1373630160160906e-11
NANOS3	76.26124039705847	4.3830388073483775	0.6175045046742917	6.039377127680067e-14	1.177678539897613e-11
TESC	1894.2149639770007	5.422351673274497	0.7659034492712168	7.437145208370215e-14	1.4333800212643758e-11
SLC51A	1409.4052300768842	-4.643315836961713	0.6587578723019342	7.916030336766774e-14	1.508140262435739e-11
CST1	982.8109034019147	9.251633086117893	1.3223922079655506	8.552610000344954e-14	1.6109035313149728e-11
CPNE7	524.0554171360368	4.978903847826782	0.7048993786663365	8.731463079048327e-14	1.626112365564337e-11
CELSR1	758.845168811491	2.934198063313293	0.4142892794572597	1.0764266588371905e-13	1.9824190966918257e-11
RP11-353N14.5	40.488597535536464	2.991900593468917	0.4252432972642355	1.2526250134974204e-13	2.2815669888703013e-11
CDC25B	4241.313498904842	2.771222040204968	0.3929635953345104	1.4403205916009717e-13	2.5949254136724028e-11
CCNE1	310.73212253714286	2.2535500592058266	0.31843145748402724	1.4595252665869803e-13	2.6012506767396988e-11
POLR1C	889.5759857689573	1.479800068517101	0.20685427708699938	1.6464986858739152e-13	2.9032676296127815e-11
C2orf70	98.98890076706513	3.9506746461725757	0.5697966717460943	2.2324743716351681e-13	3.8950802852476755e-11
RP11-353N14.4	87.28346602290554	4.071314741064202	0.5884158920829518	2.3585158275675755e-13	4.030144313601295e-11
NFE2L3	2880.7694420199055	3.0642648640062378	0.43884347201424456	2.3484506291973007e-13	4.030144313601295e-11
GINS1	596.7368964388753	2.030023174518439	0.28914716431084236	2.633675388330149e-13	4.454405057303288e-11
CLEC3B	940.4542847701981	-3.625082478925219	0.5249363518702322	2.8373528511813496e-13	4.7504165159930174e-11
LEF1	249.78324042153898	2.3758616437751776	0.34044889752171786	3.0472622958028605e-13	5.0508372552932414e-11
SLC25A34	457.9477468009932	-4.327886580841152	0.6315010445839088	3.116040944881922e-13	5.113700857566124e-11
COL7A1	546.552311411033	2.760209590287484	0.39795359845420336	3.3728520395331973e-13	5.4808845642414457e-11
SPP1	4494.679267271611	4.973455547936286	0.7250951113670631	3.705558993069973e-13	5.963071874770368e-11
RNF183	92.21810834749627	3.872106539921503	0.5653056230742172	3.8478427503232446e-13	6.09406750234688e-11
KRT6B	71.21953733911069	5.895224689228759	0.8654458169987103	3.8604952503554896e-13	6.09406750234688e-11
ELFN1-AS1	255.4955056886017	5.728684772391722	0.8397174894294296	4.0550569678456877e-13	6.340808419060592e-11
CXCL3	754.7020536008309	3.773702124596816	0.5528375881724948	5.225049526656447e-13	8.093943542460804e-11
MTHFD1L	978.682260264131	2.6286708680563824	0.3827143258422223	5.349913202264723e-13	8.135303791517228e-11
SIM2	236.2807607370285	3.8654153811617786	0.5661097134329767	5.318814565196739e-13	8.135303791517228e-11
CELSR3	474.3948978063138	2.573950222472077	0.37582731979666384	5.955347677259945e-13	8.973626159143963e-11
PRKG2	387.8233292297626	-4.883121454223533	0.7107672959060525	6.12497425687325e-13	9.146076424114785e-11
FAM150A	21.227202083791923	3.449861488418087	0.5069005667350518	6.947322433148619e-13	1.019043091410959e-10
GUCA2A	13417.937436006141	-4.4671535551150505	0.660363091226184	6.915944290867758e-13	1.019043091410959e-10
CMSS1	537.3344861268251	1.5670477427565233	0.22650953834193413	8.051420645424973e-13	1.1706341859466573e-10
TMEM147-AS1	229.749484685108	2.1695062406993757	0.3173373637429906	8.905306110684139e-13	1.283525641605127e-10
SHISA2	76.84208243641663	3.2127496839904404	0.47352911597097136	1.0057990480429247e-12	1.4371654501130584e-10
SLC11A1	193.98110436670933	2.6676942396978167	0.3941429563262438	1.107172779269279e-12	1.5684947706314786e-10
APLN	195.05268048265395	3.4852262437160366	0.5188555840104323	1.1777486494838976e-12	1.6543376156945428e-10
RP11-58O9.2	205.45539232713048	4.215219239292823	0.6316835589753723	1.4310131949493802e-12	1.9931969501080652e-10
AGPAT9	816.2038876435983	-3.041870692033875	0.4529403585460491	1.4733341660111876e-12	2.0350428168029529e-10
NME1	1691.8565605748336	2.331148883723501	0.3450911779349124	1.5974099961929499e-12	2.1881876600742268e-10
SLC35D3	203.1159885299818	4.798357343185589	0.7220202924694935	1.6440013704017715e-12	2.2335510421647018e-10
NKD2	628.0679763719648	4.562279098624306	0.6900764048838518	2.031529874735256e-12	2.715532876914263e-10
KLF9	1866.9503624368579	-2.245523935740137	0.3349150862012655	2.0240043122147006e-12	2.715532876914263e-10
SLCO4A1-AS1	317.6662441375088	4.670016429084103	0.7085414927506882	2.2196727988159293e-12	2.943286131229922e-10
CNTD2	316.0855587449809	6.389261240908247	0.9777990374612117	2.6991968572463536e-12	3.546049988648273e-10
CDKN2B	2968.4501867630033	-3.1857915598183335	0.48244181670955805	2.717033777124167e-12	3.546049988648273e-10
EDAR	743.4605500508164	4.376937607938138	0.6659626742996555	2.834946921461515e-12	3.6710347830644225e-10
CPXM1	393.5030706162025	3.1294287328771175	0.4744874673312387	3.151032527352222e-12	4.048710398516518e-10
ADAMDEC1	5470.909148225086	-3.7161179794046157	0.565974252648474	3.2342564509643245e-12	4.1236769749795136e-10
C2orf88	2120.618451567763	-4.0360374551242915	0.6166700054766229	3.334729425728031e-12	4.219323681789475e-10
PDE3A	1623.025422004835	-2.4745145493796135	0.3737406897635735	3.3961834565879416e-12	4.2645258176473584e-10
NCAM1	650.6562594112631	-3.293949281963601	0.4995000970762222	3.626476385542335e-12	4.485734782863e-10
NAA20	2110.6028916912946	1.5311098719598286	0.22836598923404577	3.6256889126719492e-12	4.485734782863e-10
RNF112	50.174782434805365	-2.1811075825646604	0.32719900648929084	3.7836679540807984e-12	4.6455034325103134e-10
ABHD3	2044.4484668493772	-2.1795854812029583	0.3297388369846644	3.907120468540355e-12	4.761803071033557e-10
GDPD5	1113.981244537862	3.146236146316232	0.4815410332897437	4.541371898183686e-12	5.494397022802525e-10
AZGP1	3411.395518587227	4.259866685681879	0.6562765580131409	4.7589269766276185e-12	5.715885118666868e-10
SLC4A11	237.52345114869485	4.60655532069052	0.7111425487551475	4.884829219163205e-12	5.824895273930224e-10
RP5-1120P11.1	28.69302001802458	5.227742327324236	0.8051807676115663	5.792055483284019e-12	6.857379973959473e-10
SLC5A6	2981.3650281999435	2.071702476670219	0.3164991686140243	7.483181328251757e-12	8.79501869238137e-10
SLC51B	1484.9680761661532	-4.367016156770139	0.6810224957956996	7.534797311120087e-12	8.79501869238137e-10
ASB9	215.43624320185737	2.681562967163517	0.41446604238069346	7.698381039064953e-12	8.923123477098013e-10
C9orf117	95.40689208716351	2.555925491271502	0.3945091616182185	7.860323378940455e-12	9.047559722634587e-10
LY6G6C	58.10021445776973	4.418352962730303	0.6918937199804779	8.971802698059875e-12	1.0255698601402925e-09
BYSL	800.1842561366127	1.8798223855739324	0.28839537357876427	9.057811028752288e-12	1.0283097109696518e-09
RP11-372E1.1	301.05677028799806	6.268069839761478	0.9901333815449962	1.0753787088850796e-11	1.204351493227716e-09
NPFFR1	56.193941666273645	3.682565505990856	0.5818310446090156	1.0738405587005512e-11	1.204351493227716e-09
TACSTD2	660.8875519949147	4.781371557057527	0.752376940745802	1.0951687401293659e-11	1.2101614578429493e-09
TSPAN7	1734.9834896744621	-3.0962257235107993	0.4844357734611055	1.089475101831964e-11	1.2101614578429493e-09
PGM5	2375.408627732155	-4.162677698907274	0.6564230749249353	1.2514766571927845e-11	1.373723549203338e-09
BMP2	1442.7059645989518	-1.6962993089356297	0.26226626870485564	1.3614639503290665e-11	1.4763993528933558e-09
ALDH1A1	3770.9794617839793	-2.9534304764232995	0.46340750044410284	1.3628301719015592e-11	1.4763993528933558e-09
KRT20	32361.496333664116	-2.7591766564394105	0.43347986366490965	1.4810640788104474e-11	1.5940673445638418e-09
DKC1	3305.1353032056963	1.6882455800200227	0.26149870807114195	1.499042737099206e-11	1.603008604349635e-09
BLACAT1	75.63801797489234	4.1057753638812935	0.6485606050925542	1.5275007477436757e-11	1.6229695444776555e-09
RELL2	135.09476626985642	2.777082533722416	0.43652467176897314	1.5496681397733776e-11	1.636034994697053e-09
GFRA2	188.30958155140164	-3.2855171893865918	0.5229837053507512	1.734985017040349e-11	1.808640041348666e-09
STMN2	403.0030445055938	-3.611301798286719	0.5753923987650741	1.7308113023243367e-11	1.808640041348666e-09
S100P	4551.220475875988	3.528501317182715	0.559008060917939	1.8853305428444618e-11	1.9530846092279345e-09
NTN1	891.6830641457966	-3.4728504303975347	0.5497690327856112	1.9203907851662104e-11	1.9770482772751514e-09
CA7	1594.9724644596547	-5.391280748889988	0.8687020321705485	1.9418074818324703e-11	1.983540041414183e-09
SDPR	1006.4173619550693	-3.288291704101266	0.5201645553163542	1.9506306289623636e-11	1.983540041414183e-09
MRPS23	1371.290921672413	1.3572132155106855	0.20945007347502761	2.0327529506503198e-11	2.0544439120139665e-09
GSTM5	139.7666119707177	-2.920166147530969	0.45860841135517505	2.051727245311596e-11	2.061053278244831e-09
PEX26	4456.935939113369	-1.9697237003393007	0.30876893492819146	2.0794326307109288e-11	2.0695524565210685e-09
CNIH3	102.00929728067885	2.1058758041182664	0.33178345122924613	2.0851599411102166e-11	2.0695524565210685e-09
TRANK1	3022.198780093889	-1.9837880126741647	0.3114332299760379	2.1576694189568712e-11	2.1287720606672704e-09
SLC35F1	55.88257811520324	-2.4880828334715193	0.39316893383827456	2.2413555004883125e-11	2.1982525100943066e-09
EVA1A	138.75693111573358	3.277572401967962	0.5213637108276455	2.2787678726526432e-11	2.221798675836327e-09
SOX9	6118.272592976084	2.4293596798224026	0.3844870333692467	2.5628412518790384e-11	2.4841575292336294e-09
OTX1	47.89096136919254	5.650529312620819	0.9100311353165222	2.7422685997235534e-11	2.6273469387524797e-09
CTD-3035D6.1	427.956971378939	6.01897219141484	0.9735759469897926	2.7404753453284068e-11	2.6273469387524797e-09
STK31	36.873409901877416	2.789884296921832	0.4435638381336374	2.7585976638987923e-11	2.6278020850070394e-09
PAPSS2	6268.095745021885	-2.2430210391116554	0.35614057467159	2.786114140099789e-11	2.6388481069802286e-09
KIAA1549	557.7304639903089	2.1532784380345467	0.3408276935053275	2.8840985472752122e-11	2.716132580743559e-09
GFRA1	426.22588886144655	-3.061321284322111	0.48823691156916493	2.947215051988697e-11	2.7598920613961954e-09
EPHX4	145.64489045303418	4.696547518488794	0.7577480319327808	3.046486767457481e-11	2.8368268635172887e-09
PDX1	359.6419818360161	5.595605385812479	0.908571419471368	3.1338123354841206e-11	2.901840193332363e-09
TCF7	1414.9657449207107	2.3523146993848965	0.3741310478160609	3.231464127751389e-11	2.975639884304404e-09
STOX2	97.1703231134173	-2.9034759371526127	0.4595933683455351	3.3260122855798615e-11	3.045781968700895e-09
CHL1	297.6938790968996	-2.918785338356393	0.4664262512350825	3.4537621397552516e-11	3.1453905201342467e-09
GTF2IRD1	1940.2705801902707	2.1450557805286414	0.34113411776708574	3.483113442218512e-11	3.1547871751241436e-09
KIAA1683	219.38326915997484	-2.512888258226735	0.40135910236963085	3.534323216575871e-11	3.1735332422080663e-09
FTSJ1	1367.675560604553	1.6884094287840519	0.26642352544758124	3.561249973156563e-11	3.1735332422080663e-09
ADAMTS2	1379.5222783159984	2.516817043718519	0.4025974071823063	3.555643378027565e-11	3.1735332422080663e-09
SHH	589.3890094304973	2.8383671392657863	0.4574596016162388	3.970553647110307e-11	3.5193543690295903e-09
SH3TC2	190.2690112784224	3.170445686449247	0.5145944334108051	4.607475841052792e-11	4.06217617369415e-09
GPR56	6948.041734140477	1.7567193726410852	0.27847747583628635	4.840478378711111e-11	4.2450227051395055e-09
LIFR	527.4187287199962	-3.5373355613148982	0.5719888044046767	5.188040321291624e-11	4.525882543442561e-09
MEX3A	499.4216123312431	3.6766722924091852	0.5997638039904823	5.3114668153858694e-11	4.609296464137214e-09
FAM83H-AS1	657.0664464848937	2.9898592042661165	0.4859911538040737	5.609381171644325e-11	4.842473589583578e-09
ABCA8	757.6804464448691	-3.7630757906864387	0.6171505670175325	6.141711209121006e-11	5.274552502133714e-09
METTL7A	4440.509971826234	-2.4111358520792825	0.392412784532301	6.78006384903968e-11	5.792760737001685e-09
IFITM2	6382.059127110961	3.137540335774138	0.5119115163466365	7.069037638750057e-11	5.9780254521572544e-09
CCDC86	1052.0956274330147	1.5318671437653353	0.24479327629456302	7.046223278507914e-11	5.9780254521572544e-09
UHRF1	786.9932108742256	2.9719970628827967	0.4876148587357565	7.767108698939054e-11	6.5350165829906005e-09
LRRC36	67.20615198633593	3.338950044812387	0.5502904493425625	7.894687582485567e-11	6.6088104383686004e-09
DBNDD1	622.5426777165599	2.9286098720687046	0.48014227129561937	8.011392093791595e-11	6.6728052238490294e-09
PHLPP2	2665.408497483205	-3.069255973798237	0.5040964172981944	8.104219011708923e-11	6.71637150595377e-09
PHLDA1	3098.886037057691	2.901515426723048	0.4755027659197639	8.25694158706877e-11	6.775188455725982e-09
C1QTNF7	142.06402178873662	-3.1931072602946338	0.5184889349926287	8.217337689911394e-11	6.775188455725982e-09
GREM2	940.5075773014476	-4.175368772721159	0.6890669701570997	8.873650971972125e-11	7.245357874898422e-09
C17orf96	222.0998889076409	3.322566246563608	0.5496488641427303	9.837464767762189e-11	7.953950171983332e-09
TGIF2	910.1404678102948	2.0275794337988238	0.3306110730749392	9.811532906648153e-11	7.953950171983332e-09
PAG1	2007.415964549519	-2.0893414902650154	0.3426416792282785	9.93418252579779e-11	7.993158998305746e-09
SMPDL3A	2511.2095291730548	-3.3097483354327983	0.5493336270101216	1.1026030995357003e-10	8.82881467381847e-09
SLC25A23	5501.125912059619	-1.8033570844987732	0.2942713061729035	1.1930079985324866e-10	9.506782488305753e-09
CCND1	4887.487418893246	1.7373410713433064	0.2826346226770352	1.2482060870636608e-10	9.899050666545538e-09
SULT1A2	576.3272904425123	-3.8136579317062034	0.639962745358783	1.2675265834006488e-10	1.0004406247555122e-08
C6orf223	707.4113715420555	4.675985645987795	0.7863747541615919	1.3686024578533405e-10	1.0750988501857402e-08
SYNM	10753.58806630096	-5.225085788438061	0.8835058782225923	1.4868364297336508e-10	1.1624676331526068e-08
PAQR4	1029.522801030761	2.627671560083419	0.43748498208927444	1.618050488866278e-10	1.2591167536600263e-08
TRIP13	464.3177527297594	2.452379814554794	0.4080783325056027	1.7074994219695058e-10	1.3225141551002128e-08
SLC9A1	4372.2210015949795	-1.33466184567968	0.2174574059370635	1.7988879493061492e-10	1.3868171051046242e-08
RP11-832N8.1	207.21072900868612	5.419644587924699	0.9223374122356012	1.816516188890659e-10	1.3939238810584572e-08
KLHL35	343.336378891116	5.1468871208758955	0.875064452383662	1.861470583416272e-10	1.4218375539227976e-08
GDF15	5779.203570219259	3.9089675947747775	0.6594171194233641	1.8909124206360233e-10	1.437700613396426e-08
AD000092.3	245.99975123601405	5.794060715626056	0.9872770368900808	1.902056161150624e-10	1.4395699027886572e-08
PLEKHN1	98.3004334371078	3.419322821159005	0.5798664999439299	2.0117397232169347e-10	1.515662996014577e-08
AC144831.1	77.91699805279458	-2.6875517975913614	0.44818275983683503	2.038464903769311e-10	1.5288486778269834e-08
TOX	490.1641963722776	-2.2701106105678366	0.3787197817168263	2.117371763716417e-10	1.5808755398017845e-08
NBPF1	790.2299070115668	-1.7997947947666417	0.2984652888186457	2.33248207105683e-10	1.7336722120074867e-08
AXIN2	2637.580912743295	2.1831795936521052	0.3643582290897909	2.3829600321986677e-10	1.7554472237196854e-08
RCAN2	648.9200449783444	-2.0512264233852324	0.3422701703314831	2.381213910909007e-10	1.7554472237196854e-08
LRP8	346.29889957280847	2.825775720114941	0.4774918735308581	2.4519368262364564e-10	1.798267827206605e-08
C2orf61	15.039708016284544	3.9865989944931166	0.6682394028571248	2.4812000287653e-10	1.8117132368627685e-08
S100A2	182.2736612755891	4.145507309404323	0.7097352631546504	2.5878883378376313e-10	1.8813267192832778e-08
MYH11	123822.35094756431	-5.305221186449437	0.9147529404174246	2.8362827814155437e-10	2.0528990000857047e-08
TMEM211	193.09129793539725	5.860437201230783	1.0108413455992789	2.8789105997278704e-10	2.0746931821951936e-08
MCIDAS	20.89117031949133	4.266771688947733	0.7274187160794922	3.08978345488253e-10	2.2170199465228545e-08
KAT2A	1922.6265803575625	1.6551974619881615	0.2763870576143283	3.124298791490181e-10	2.232122951247834e-08
PDPN	624.9514429532304	1.9325174965699985	0.3247721959641175	3.1877388972593065e-10	2.2676726275567813e-08
HIST1H1C	1098.8763423332978	-2.767591202713623	0.47300217868041067	3.4747685690714573e-10	2.4612944030922823e-08
ZC3HAV1L	211.84657852838663	2.5935896497454345	0.4432044515278692	3.6573829465144985e-10	2.579622227169269e-08
VIP	1018.5677129542604	-3.4180899148793054	0.5910140355112444	3.9761634079886167e-10	2.7925808681106495e-08
TACR2	1122.2419709350752	-4.419878729393173	0.7661081572460587	4.019340291249388e-10	2.8109943176142874e-08
RUVBL1	1996.2961573398395	1.9697195419360058	0.33186876174920443	4.1967967866390625e-10	2.922769190695061e-08
SLC39A10	815.5524493797154	1.9992940024753583	0.3382805333689479	4.307505804308994e-10	2.987318355917221e-08
NBEA	274.88556798358616	-3.9908256737581316	0.6839034447538529	4.47799838524011e-10	3.092617634806451e-08
PCSK5	1719.8219272505573	-2.680819238061814	0.4598866065954316	4.5005792961131484e-10	3.0953154287583166e-08
SLC38A5	2413.607411802651	2.853061319069026	0.49021729769552586	4.538452488693171e-10	3.108464876036748e-08
NR2C2AP	693.2325807270677	1.4690799765476614	0.2463077918328878	4.59991310109188e-10	3.137595047349708e-08
CGREF1	644.8518069907743	3.4974003757192818	0.6050680379745088	4.6556431465814764e-10	3.1625936538765564e-08
C7	2851.9375642234922	-4.016239601273207	0.6983481129665295	4.706551550509144e-10	3.184126202028125e-08
MT-TY	1025.8319936012686	5.692967534945734	0.9971194110186026	5.000877229114184e-10	3.3694934988848613e-08
PRR7	408.7875447197597	4.0570729331525515	0.7068481101872569	5.084862953342941e-10	3.412210666059079e-08
ZP3	368.7594559623833	2.5176640387256497	0.433033637733884	5.140740303846447e-10	3.4357971990425345e-08
TDP2	6819.216987015543	-2.4109524509782467	0.4146958529573182	5.403698939758406e-10	3.597040559297012e-08
AHCY	14706.093030416803	2.2301525001057327	0.38191229509069863	5.570381840408987e-10	3.6931631601911586e-08
OLR1	95.33208794217107	4.11397156692839	0.7171507901077976	5.755713185684016e-10	3.800834504092134e-08
ETFDH	1228.5670693247364	-2.22586778547967	0.38264601856251995	5.950341053825503e-10	3.9137659907602265e-08
S100A11	9743.310373410406	2.3983453196916424	0.41358819960209425	6.1783775139511e-10	4.047691987894841e-08
